player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Nick Suzuki,MTL,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Drake Batherson,OTT,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Evgeni Malkin,PIT,UNK,points,1.5,demon,56.5%,50.0%,+6.5%,0.13026875000000016,+13.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (94.2%), exponential decay for +1.0 line (decay rate: 0.6)"
Mikko Rantanen,DAL,UNK,shots,1.5,goblin,79.7%,70.7%,+9.0%,0.12656089628249156,+12.7%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (38.8%), normal distribution (mean=2.2, sd=0.9)"
Aliaksei Protas,WSH,UNK,shots,1.5,goblin,79.7%,70.7%,+9.0%,0.12656089628249156,+12.7%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (38.8%), normal distribution (mean=2.2, sd=0.9)"
Gabriel Vilardi,WPG,UNK,points,0.5,goblin,79.6%,70.7%,+8.9%,0.1257941012499999,+12.6%,1.414,20%,fallback_assumption,"Points model: 1.19 PPG (std=0.36, confidence=80%) | Distance: +0.69 from 0.5 line | Favorite (GS: 1.08x)"
Kirill Kaprizov,MIN,UNK,shots,2.5,goblin,79.1%,70.7%,+8.3%,0.11793987851886767,+11.8%,1.414,20%,fallback_assumption,"Shots model: 3.7 SOG (std=1.5, confidence=79%) | Distance: +1.2 from 2.5 line | Favorite (GS: 1.03x)"
Adrian Kempe,LA,UNK,shots,2.5,goblin,78.9%,70.7%,+8.2%,0.1161396937525323,+11.6%,1.414,20%,fallback_assumption,"Shots model: 3.7 SOG (std=1.5, confidence=79%) | Distance: +1.2 from 2.5 line"
Quinton Byfield,LA,UNK,shots,2.5,demon,55.5%,50.0%,+5.5%,0.10971537675367937,+11.0%,2.0,20%,fallback_assumption,"Shots model: 2.6 SOG (std=1.1, confidence=55%) | Distance: +0.1 from 2.5 line"
Jake Sanderson,OTT,UNK,shots,2.5,demon,55.3%,50.0%,+5.3%,0.1056188398394533,+10.6%,2.0,20%,fallback_assumption,"Shots model: 2.6 SOG (std=1.1, confidence=55%) | Distance: +0.1 from 2.5 line"
Kirill Kaprizov,MIN,UNK,points,1.5,demon,55.3%,50.0%,+5.3%,0.10519999999999996,+10.5%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (92.1%), exponential decay for +1.0 line (decay rate: 0.6)"
Kirill Kaprizov,MIN,UNK,shots,3.5,demon,55.3%,50.0%,+5.3%,0.105027695373763,+10.5%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (79.1%), normal distribution (mean=3.7, sd=1.5)"
Morgan Geekie,BOS,UNK,shots,2.5,demon,55.2%,50.0%,+5.2%,0.10457039930399614,+10.5%,2.0,20%,fallback_assumption,"Shots model: 2.6 SOG (std=1.1, confidence=55%) | Distance: +0.1 from 2.5 line | Underdog (GS: 1.10x)"
Timo Meier,NJ,UNK,points,0.5,standard,63.6%,57.7%,+5.8%,0.10117410909090907,+10.1%,1.732,20%,fallback_assumption,"Points model: 0.84 PPG (std=0.25, confidence=64%) | Distance: +0.34 from 0.5 line"
Adrian Kempe,LA,UNK,shots,3.5,demon,55.0%,50.0%,+5.0%,0.10013426532738512,+10.0%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (78.9%), normal distribution (mean=3.7, sd=1.5)"
Kevin Fiala,LA,UNK,shots,3.5,demon,55.0%,50.0%,+5.0%,0.10013426532738512,+10.0%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (78.9%), normal distribution (mean=3.7, sd=1.5)"
Sergei Bobrovsky,FLA,UNK,goalie_saves,23.5,demon,55.0%,50.0%,+5.0%,0.09980746128856266,+10.0%,2.0,20%,fallback_assumption,"Saves model: 21.9 saves (SV%=0.903, std=6.0, confidence=75%) | Distance: -1.6 saves from 23.5 line"
