player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,payout_multiplier,reasoning
Connor McDavid,EDM,UNK,shots,3.5,demon,48.1%,25.0%,+23.1%,0.9236069759459737,+92.4%,4.0,"Extrapolated from 2.5 (58.1%), -10% for +1.0 line"
Dylan Larkin,DET,UNK,shots,4.5,demon,48.1%,25.0%,+23.1%,0.9225192446976693,+92.3%,4.0,"Extrapolated from 2.5 (68.1%), -20% for +2.0 line"
Erik Karlsson,PIT,UNK,points,0.5,standard,63.6%,33.3%,+30.2%,0.9073454545454547,+90.7%,3.0,0.82 PPG
Mark Scheifele,WPG,UNK,points,0.5,goblin,95.0%,50.0%,+45.0%,0.8999999999999999,+90.0%,2.0,1.50 PPG
Kirill Kaprizov,MIN,UNK,points,0.5,goblin,95.0%,50.0%,+45.0%,0.8999999999999999,+90.0%,2.0,1.36 PPG
Jack Hughes,NJ,UNK,points,0.5,goblin,95.0%,50.0%,+45.0%,0.8999999999999999,+90.0%,2.0,1.40 PPG
Macklin Celebrini,SJ,UNK,points,0.5,goblin,95.0%,50.0%,+45.0%,0.8999999999999999,+90.0%,2.0,1.60 PPG
Dylan Larkin,DET,UNK,points,0.5,goblin,95.0%,50.0%,+45.0%,0.8999999999999999,+90.0%,2.0,1.60 PPG
Evgeni Malkin,PIT,UNK,points,0.5,goblin,94.6%,50.0%,+44.6%,0.8923636363636365,+89.2%,2.0,1.45 PPG
Quinton Byfield,LA,UNK,shots,3.5,demon,46.7%,25.0%,+21.7%,0.867190338825194,+86.7%,4.0,"Extrapolated from 2.5 (56.7%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,points,0.5,goblin,92.2%,50.0%,+42.2%,0.8432727272727274,+84.3%,2.0,1.27 PPG
Will Smith,SJ,UNK,shots,3.5,demon,45.9%,25.0%,+20.9%,0.8341783680528425,+83.4%,4.0,"Extrapolated from 2.5 (55.9%), -10% for +1.0 line"
Alex DeBrincat,DET,UNK,shots,1.5,goblin,90.3%,50.0%,+40.3%,0.8066826390488224,+80.7%,2.0,"Extrapolated from 2.5 (80.3%), +10% for -1.0 line"
Sidney Crosby,PIT,UNK,points,0.5,goblin,90.0%,50.0%,+40.0%,0.7990909090909089,+79.9%,2.0,1.36 PPG
Ryan Donato,CHI,UNK,shots,2.5,demon,44.8%,25.0%,+19.8%,0.7906346765835632,+79.1%,4.0,2.5 SOG/G
Nico Hischier,NJ,UNK,shots,3.5,demon,44.6%,25.0%,+19.6%,0.7852075453647172,+78.5%,4.0,"Extrapolated from 2.5 (54.6%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,shots,5.5,demon,44.6%,25.0%,+19.6%,0.7851408337700958,+78.5%,4.0,"Extrapolated from 2.5 (74.6%), -30% for +3.0 line"
Macklin Celebrini,SJ,UNK,shots,5.5,demon,44.3%,25.0%,+19.3%,0.7704678908297522,+77.0%,4.0,"Extrapolated from 2.5 (74.3%), -30% for +3.0 line"
Jack Hughes,NJ,UNK,shots,6.5,demon,44.0%,25.0%,+19.0%,0.7600605046822246,+76.0%,4.0,"Extrapolated from 2.5 (84.0%), -40% for +4.0 line"
William Eklund,SJ,UNK,shots,1.5,goblin,86.3%,50.0%,+36.3%,0.725501016015359,+72.6%,2.0,"Extrapolated from 2.5 (76.3%), +10% for -1.0 line"
Jesper Bratt,NJ,UNK,points,0.5,goblin,85.5%,50.0%,+35.5%,0.7109999999999996,+71.1%,2.0,1.20 PPG
Matt Boldy,MIN,UNK,shots,2.5,goblin,85.5%,50.0%,+35.5%,0.7092699189917289,+70.9%,2.0,3.8 SOG/G
Adrian Kempe,LA,UNK,shots,1.5,goblin,84.6%,50.0%,+34.6%,0.692570416885048,+69.3%,2.0,"Extrapolated from 2.5 (74.6%), +10% for -1.0 line"
Connor Bedard,CHI,UNK,shots,4.5,demon,42.1%,25.0%,+17.1%,0.6823399627443927,+68.2%,4.0,"Extrapolated from 2.5 (62.1%), -20% for +2.0 line"
Jack Hughes,NJ,UNK,shots,2.5,goblin,84.0%,50.0%,+34.0%,0.6800302523411124,+68.0%,2.0,3.8 SOG/G
Timo Meier,NJ,UNK,shots,4.5,demon,41.8%,25.0%,+16.8%,0.6711623015461903,+67.1%,4.0,"Extrapolated from 2.5 (61.8%), -20% for +2.0 line"
Mark Scheifele,WPG,UNK,shots,4.5,demon,41.6%,25.0%,+16.6%,0.6646454262302057,+66.5%,4.0,"Extrapolated from 2.5 (61.6%), -20% for +2.0 line"
Kyle Connor,WPG,UNK,points,0.5,goblin,83.0%,50.0%,+33.0%,0.6599999999999999,+66.0%,2.0,1.20 PPG
Kevin Fiala,LA,UNK,shots,1.5,goblin,82.8%,50.0%,+32.8%,0.6551095358780217,+65.5%,2.0,"Extrapolated from 2.5 (72.8%), +10% for -1.0 line"
Artemi Panarin,NYR,UNK,shots,3.5,demon,41.4%,25.0%,+16.4%,0.6544493170671202,+65.4%,4.0,"Extrapolated from 2.5 (51.4%), -10% for +1.0 line"
Matt Boldy,MIN,UNK,points,0.5,goblin,81.9%,50.0%,+31.9%,0.6370909090909092,+63.7%,2.0,1.09 PPG
Leon Draisaitl,EDM,UNK,shots,4.5,demon,40.9%,25.0%,+15.9%,0.6348187912279364,+63.5%,4.0,"Extrapolated from 2.5 (60.9%), -20% for +2.0 line"
Kyle Connor,WPG,UNK,shots,2.5,goblin,81.4%,50.0%,+31.4%,0.6272040711761533,+62.7%,2.0,3.7 SOG/G
Bryan Rust,PIT,UNK,shots,3.5,demon,40.3%,25.0%,+15.3%,0.6127252967196735,+61.3%,4.0,"Extrapolated from 2.5 (50.3%), -10% for +1.0 line"
Kirill Kaprizov,MIN,UNK,shots,2.5,goblin,80.6%,50.0%,+30.6%,0.6110134377802636,+61.1%,2.0,3.4 SOG/G
Alex DeBrincat,DET,UNK,shots,2.5,goblin,80.3%,50.0%,+30.3%,0.6066826390488225,+60.7%,2.0,3.7 SOG/G
Jordan Kyrou,STL,UNK,shots,3.5,demon,39.8%,25.0%,+14.8%,0.5916847423840297,+59.2%,4.0,"Extrapolated from 2.5 (49.8%), -10% for +1.0 line"
Dylan Larkin,DET,UNK,shots,1.5,goblin,78.1%,50.0%,+28.1%,0.5612596223488346,+56.1%,2.0,"Extrapolated from 2.5 (68.1%), +10% for -1.0 line"
Evgeni Malkin,PIT,UNK,shots,2.5,demon,38.5%,25.0%,+13.5%,0.5405861649056365,+54.1%,4.0,2.2 SOG/G
Connor Bedard,CHI,UNK,points,0.5,goblin,77.0%,50.0%,+27.0%,0.5399999999999998,+54.0%,2.0,1.20 PPG
Connor McDavid,EDM,UNK,shots,4.5,demon,38.1%,25.0%,+13.1%,0.5236069759459736,+52.4%,4.0,"Extrapolated from 2.5 (58.1%), -20% for +2.0 line"
Bryan Rust,PIT,UNK,shots,2.5,standard,50.3%,33.3%,+17.0%,0.509543972539755,+51.0%,3.0,2.4 SOG/G
Jordan Kyrou,STL,UNK,shots,2.5,standard,49.8%,33.3%,+16.5%,0.4937635567880223,+49.4%,3.0,2.2 SOG/G
Adrian Kempe,LA,UNK,shots,2.5,goblin,74.6%,50.0%,+24.6%,0.492570416885048,+49.3%,2.0,3.0 SOG/G
Nico Hischier,NJ,UNK,points,0.5,goblin,74.6%,50.0%,+24.6%,0.4924999999999997,+49.2%,2.0,1.00 PPG
Macklin Celebrini,SJ,UNK,shots,2.5,goblin,74.3%,50.0%,+24.3%,0.4852339454148762,+48.5%,2.0,2.8 SOG/G
Gabriel Vilardi,WPG,UNK,shots,2.5,demon,36.9%,25.0%,+11.9%,0.4760541959024618,+47.6%,4.0,2.1 SOG/G
Connor Bedard,CHI,UNK,shots,1.5,goblin,72.1%,50.0%,+22.1%,0.4411699813721963,+44.1%,2.0,"Extrapolated from 2.5 (62.1%), +10% for -1.0 line"
Timo Meier,NJ,UNK,shots,1.5,goblin,71.8%,50.0%,+21.8%,0.4355811507730951,+43.6%,2.0,"Extrapolated from 2.5 (61.8%), +10% for -1.0 line"
Mark Scheifele,WPG,UNK,shots,1.5,goblin,71.6%,50.0%,+21.6%,0.43232271311510284,+43.2%,2.0,"Extrapolated from 2.5 (61.6%), +10% for -1.0 line"
Alex DeBrincat,DET,UNK,points,0.5,goblin,71.3%,50.0%,+21.3%,0.42599999999999993,+42.6%,2.0,1.00 PPG
Lucas Raymond,DET,UNK,points,0.5,goblin,71.3%,50.0%,+21.3%,0.42599999999999993,+42.6%,2.0,1.00 PPG
Ryan Donato,CHI,UNK,shots,3.5,demon,34.8%,25.0%,+9.8%,0.3906346765835633,+39.1%,4.0,"Extrapolated from 2.5 (44.8%), -10% for +1.0 line"
Timo Meier,NJ,UNK,points,0.5,goblin,69.3%,50.0%,+19.3%,0.38660000000000005,+38.7%,2.0,0.90 PPG
Nico Hischier,NJ,UNK,shots,4.5,demon,34.6%,25.0%,+9.6%,0.385207545364717,+38.5%,4.0,"Extrapolated from 2.5 (54.6%), -20% for +2.0 line"
Quinton Byfield,LA,UNK,shots,1.5,goblin,66.7%,50.0%,+16.7%,0.3335951694125969,+33.4%,2.0,"Extrapolated from 2.5 (56.7%), +10% for -1.0 line"
Bryan Rust,PIT,UNK,points,0.5,goblin,66.5%,50.0%,+16.5%,0.3295999999999999,+33.0%,2.0,0.89 PPG
Jordan Kyrou,STL,UNK,points,0.5,goblin,66.3%,50.0%,+16.3%,0.32576000000000005,+32.6%,2.0,0.80 PPG
Will Smith,SJ,UNK,shots,1.5,goblin,65.9%,50.0%,+15.9%,0.31708918402642117,+31.7%,2.0,"Extrapolated from 2.5 (55.9%), +10% for -1.0 line"
Nico Hischier,NJ,UNK,shots,1.5,goblin,64.6%,50.0%,+14.6%,0.2926037726823585,+29.3%,2.0,"Extrapolated from 2.5 (54.6%), +10% for -1.0 line"
Gabriel Vilardi,WPG,UNK,points,0.5,goblin,63.6%,50.0%,+13.6%,0.272,+27.2%,2.0,0.80 PPG
Josh Morrissey,WPG,UNK,points,0.5,goblin,63.6%,50.0%,+13.6%,0.272,+27.2%,2.0,0.80 PPG
Timo Meier,NJ,UNK,shots,5.5,demon,31.8%,25.0%,+6.8%,0.27116230154619014,+27.1%,4.0,"Extrapolated from 2.5 (61.8%), -30% for +3.0 line"
Kevin Fiala,LA,UNK,points,0.5,goblin,63.0%,50.0%,+13.0%,0.25978181818181834,+26.0%,2.0,0.73 PPG
